Input,Target
"yes... no, it is not unreasonable. although i--","great.  well, i'm sure glad that's settled, aren't you?"
what's this?  what's going on?,nothing.
nothing.,nothing?
nothing?,shouldn't we examine their personal effects?
what is this?,"a rubber.  a condom.  you know... coney island whitefish?  men, human men, put them on their, uh -- penises -- to protect against having babies.  you need this for anything?"
get the picture?,and that fits?
and that fits?,"well... yeah, it's rubber.  it stretches."
"well... yeah, it's rubber.  it stretches.",and still it fits?
newcomers working near methane gasses at oil refineries must paint it on their boots to protect against sparks.,how the hell do you know that?
how the hell do you know that?,a large number of my people were hired by refineries because the methane fumes are not harmful to us. my spouse's brother is one.
a large number of my people were hired by refineries because the methane fumes are not harmful to us. my spouse's brother is one.,"so the slag they're cutting into upstairs worked at a refinery just like hubley worked at a refinery.  i'd say that ""possible"" connection between the two cases just got a hell of a lot more possible.  okay, next step -- i gotta go talk to the wife of the slag store owner blown away last night."
"so the slag they're cutting into upstairs worked at a refinery just like hubley worked at a refinery.  i'd say that ""possible"" connection between the two cases just got a hell of a lot more possible.  okay, next step -- i gotta go talk to the wife of the slag store owner blown away last night.",i believe i should interview the widow alone.
i believe i should interview the widow alone.,"why the hell--?!  great, fine.  you talk to the wife."
mrs. porter is not taking her husband's death well.,did you learn anything?
did you learn anything?,"a week ago two men came to see her husband.  after they left, he was very frightened.  she identified one of the men from a photo i showed her.  it was hubley."
"a week ago two men came to see her husband.  after they left, he was very frightened.  she identified one of the men from a photo i showed her.  it was hubley.",aw-right.  what about the other guy?
aw-right.  what about the other guy?,she didn't know him.  but she said her son might.
she didn't know him.  but she said her son might.,did you talk to him?
did you talk to him?,he has not been home since that day. but she told me where to find him.
"rudyard kipling?  no shit?  listen, we just need a minute of your time...","we'd like to ask you about a business associate of your, warren hubley."
why did you do it?,why'd i do what?
why'd i do what?,agree to work with me?  you don't like me... you don't like any of us. you have nothing but contempt for us.  and yet you become an outcast from your club of detectives by making me your partner...
agree to work with me?  you don't like me... you don't like any of us. you have nothing but contempt for us.  and yet you become an outcast from your club of detectives by making me your partner...,"my partner is dead!  because one of you bastards killed him -- then disappeared into a rathole down in slagtown, where he's home and dry, 'cause nobody sees nothing, nobody says nothing..."
who said that?,at the end of the bar.
"your name wouldn't happen to be porter, would it?","uh, matthew..."
"uh, matthew...","back off, george."
"back off, george.",but i-- .
but i-- .,i'll handle it.
screw you.,screw me?  that can't be right.
tell me.,your mother mates out of season.
your mother mates out of season.,"that's very colorful.  but see -- now i've got a problem.  i don't seem to be getting much cooperation from you, porter.  so i guess we're gonna have to take this little session down to my office, ya know?"
"matthew, you don't have to-- .",stay back!  i'm okay.
you know that guy?,"from quarantine, when my people first arrived here.  he and i were housed together."
"from quarantine, when my people first arrived here.  he and i were housed together.",how could a straight-arrow like you ever pick a roommate like him?
how could a straight-arrow like you ever pick a roommate like him?,"in the camps, we were lodged four to a room.  the selection process was entirely random.  we did not get to stay with our friends... or families..."
"if i may make a suggestion... we have different weak spots than you do.  next time, a blow to the nerve plexus under the arm, here, will produce the effect i think you were looking for.","yeah, sure.  i knew that..."
i don't think i could ever learn to read that shit.  how long did it take you to learn english?,"three months.  we learn quickly.  we adapt.  it is our strength... what we were bred for, to adapt to hostile environments."
which one is that?  raw what?,this is mole.  it's good.
this is mole.  it's good.,i'll bet.  would it really put you out if they tossed that on the grill for a minute or two?
i'll bet.  would it really put you out if they tossed that on the grill for a minute or two?,our bodies do not assimilate the nutrients if the food has been cooked.
so what was that other word for human... slow ka?,"ss'loka'.  it means literally ""small but intelligent creature"".  it loses much in the translation."
"ss'loka'.  it means literally ""small but intelligent creature"".  it loses much in the translation.",and what was that one about my mother?  that was a good one.
and what was that one about my mother?  that was a good one.,ss'trokya ss'lato 'na'.
ss'trokya ss'lato 'na'.,"yeah, that's it.  say it slow."
who is he?,todd watson.  the assistant manager.
"we were chasing you because you ran, you dumb son-of-a-bitch.",when will strader return?
i believe he is probably lying.,"through his ass.  next time you see him, tell him to call me... unless you want us to keep coming back on you like a bad case of herpes."
"so, she keeps you on a pretty short leash, does she?",my wife?  she worries about me.
yeah... i know the routine.,you are married?
you are married?,was.  divorced.
was.  divorced.,we mate for life.  divorce... is a strange concept to us.
we mate for life.  divorce... is a strange concept to us.,"it's like having an eleventh finger removed.  it hurts like hell, but you never really needed the damn thing in the first place."
your home is quite disordered.  i thought perhaps you had been burglarized when i walked in.,"i appreciate your honesty, george."
"human children can be very beautiful.  getting married?  congratulations. you will be taking sunday off, then...",maybe not... i don't know.  i'm not sure i'm gonna go.  she doesn't need her burn-out of a father there...
"... and so, and so the doctor says, ""if this is the thermometer, then where'd i leave the pen?""  you're not... you don't think that's funny?  george, work with me, i always get a laugh with that one. look, if the doctor's got the thermometer in his hand, then where's his pen gotta be?",in the other man's rectum.
in the other man's rectum.,"sticking out of his ass... yeah! see, that's what makes it a joke. there's like a surprise, and your mind fills in the funny picture. here's this guy with a pen stuck in his ass and he thinks it's a thermometer.  nada, huh?"
your health...,ta ss'trakyona'...
there is so much our two peoples don't understand about each other.,"no shit, holmes.  you're only from another goddamn planet, for chrissakes."
"no shit, holmes.  you're only from another goddamn planet, for chrissakes.","you humans are very curious to us. you invite us to live among you, in an atmosphere of equality we've never known before.  you lay before us a beautiful green world, full of freedoms and opportunities... you give us ownership of our lives for the first time... and you ask no more of us than you do of yourselves: to live by the rules... rules that aren't made to keep one people subordinate to another, but rules that exist to preserve equality.  you aspire to very high ideals here."
i hope you can understand how special your world is... how unique a people you humans are.  so it us all the more painful and confusing to us that so few of you seem capable of living up the the ideals you set for yourselves.,"don't count on me, george.  i never had any ideals."
i'm going home.,"yeah, go home.  get some sleep.  you do sleep, don't you?"
where'd you get this?!!,"a man, a human, was wiring it to your car.  i didn't get a good look at him.  i must call my wife..."
she's going to divorce me.,"george, she's not gonna divorce you. you mate for life, remember?"
"george, she's not gonna divorce you. you mate for life, remember?",she's very progressive.  i'm certain she's considering it.
"well, let's roll, george.",to the... to the beach?
to the... to the beach?,"come on, let's go, dude.  surf's up!"
stop the car.,why?
why?,"please, i must get out here."
"please, i must get out here.","come on, you won't have to get near the water."
"come on, you won't have to get near the water.",stop the car!
"it's all right, george.  it's cool. just wait here, all right?  i'll be back in a coupla minutes.",thank you.
what was that about?,nothing.
"... so we've got three guys dead. all newcomers, all killed the same way -- execution style.",warren hubley was in middle management at a refinery... joshua strader operated a successful bar and nightclub...
warren hubley was in middle management at a refinery... joshua strader operated a successful bar and nightclub...,... and porter ran a piece of shit mom-and-pop mini-mart.  so what the hell's the connection?
"what's this nothing shit?  it wasn't nothing yesterday when you asked bentner to run that test and he looked like he was about to shit peach pits, and it's not nothing now.  don't lie to me, george, you're bad at it.",you must leave me alone on this.
"no secrets, goddammit!  you don't hold back from me.  whatever is going on, you're gonna tell me now!",no.  i cannot involve you.  this is not your concern.
no.  i cannot involve you.  this is not your concern.,"the hell it isn't, when somebody wires up enough c-4 explosive to my car to turn me into pink mist!  that slag was on something, and not sour milk, either?  am i right?  tell me!  what is it?"
"the hell it isn't, when somebody wires up enough c-4 explosive to my car to turn me into pink mist!  that slag was on something, and not sour milk, either?  am i right?  tell me!  what is it?",... it is called ss'jabroka'.  to us it is a potent narcotic.
... it is called ss'jabroka'.  to us it is a potent narcotic.,how potent?
how potent?,"like your cocaine, i suppose.  the ""high"" lasts several hours.  we would receive small amounts of it... as a reward for our labor."
"like your cocaine, i suppose.  the ""high"" lasts several hours.  we would receive small amounts of it... as a reward for our labor.",we?  you've taken it?
we?  you've taken it?,we all did.
we all did.,where did he get it?  was there any of it on the ship?
where did he get it?  was there any of it on the ship?,no... i am sure not.  that is why i am so concerned... someone must now be producing it here.  but none of my people know how to make it.  the process was carefully guarded.
no... i am sure not.  that is why i am so concerned... someone must now be producing it here.  but none of my people know how to make it.  the process was carefully guarded.,"jesus, this is major.  why didn't you tell me sooner? why'd you hold out on me?"
"jesus, this is major.  why didn't you tell me sooner? why'd you hold out on me?",your people don't know about this part of out past.  and they can't know -- it would threaten our entire existence here.
"george... look me in the eye... george, you don't ever lie to me again.","i must trust you, matthew.  i cannot stop this without you."
"they had months in quarantine to develop the plan.  porter, with his chemistry background, must have somehow come up with the formula for the drug.  hubley manufactured it -- at the refinery.  strader, through the nightclub, established a distribution network.  and harcourt--",harcourt was the brain who brought it all together.
"okay, george -- we gotta play this real smart.","if the drug is here, we must destroy it."
"if the drug is here, we must destroy it.","no, george -- you're missing the point.  the drug is evidence.  we need to have the evidence, ya know?"
"uh, george...",where is the drug?  where have they taken it?
"george, uh... you're gonna break his little chest bones...","stay out of this, matthew.  tell me where the drug has been taken or i will crush your lungs against this wall."
"george, c'mon -- lighten up.  it's a beauty of a case.  don't sweat it -- we got him by the short hairs. he ain't gonna make any more of the shit.","the fifty kilos, matthew.  i have to find it.  i can't let it get out on the street."
"the fifty kilos, matthew.  i have to find it.  i can't let it get out on the street.",why?  what's the big goddamn deal?
,fuck procedure.
shit!,ss-ai!
"with harcourt and kipling dead, i assume you will be requesting reassignment now.","it'd be for your own good.  i think you'd be better off with a partner who's a little more... by the book.  ... still, i gotta tell you, george, for a quiet guy, you're sure hell on wheels once you get going.  i'd kinda hate to miss your next two days as a detective."
"what's this about, george?  i know that look.",there!  go back.  down that side street.
no!  we must do this alone.,do what?!  george-- ?!
what is this?!,... it's harcourt.
... it's harcourt.,harcourt is dead.
harcourt is dead.,"no he's not.  not if he overdosed on the drug.  massive amounts trigger a... a change.  your body functions seize up, you appear to be dead, but it's really a state of incubation.  when you emerge you're..."
"no he's not.  not if he overdosed on the drug.  massive amounts trigger a... a change.  your body functions seize up, you appear to be dead, but it's really a state of incubation.  when you emerge you're...",tell me about it...
"i never thought i'd say this, but -- for once in my life i think i'm willing to wait for back-up.",we can't let him get away.
we can't let him get away.,why the hell are you so dead set against back-up?
why the hell are you so dead set against back-up?,because... because of what will happen if humans see what we are capable of becoming.
because... because of what will happen if humans see what we are capable of becoming.,but there's no more drug.
but there's no more drug.,you understand that.  but how many others will?
how do i look?,you look very good.
"you said you wanted the biggest thing i could find... well, this is it.",what is it?
what is it?,casull .454 magnum.  you're talking twice the impact energy of .44 magnum hot loads.
casull .454 magnum.  you're talking twice the impact energy of .44 magnum hot loads.,only holds five.
only holds five.,"yeah, the shells are too big for six in an cylinder.  hell, matt, you don't need but one."
"yeah, the shells are too big for six in an cylinder.  hell, matt, you don't need but one.",no... two.
mr. hubley was an all right guy -- and a damn good manager.  the men liked him.  i'm really gonna have to scramble to fill his shoes.,"well, one of the men didn't like him so much..."
you think this is the guy who did it?,"we think he could'a been involved, yeah.  you know him?"
"we think he could'a been involved, yeah.  you know him?","to be honest, it's hard to say.  i hate to admit it but -- they all still kinda look alike to me."
"to be honest, it's hard to say.  i hate to admit it but -- they all still kinda look alike to me.",who else can i ask around here?
who else can i ask around here?,wait.  you know who it looks like? yeah.  anderson.  uh... james anderson.  he isn't in today.  he took the afternoon off.
wait.  you know who it looks like? yeah.  anderson.  uh... james anderson.  he isn't in today.  he took the afternoon off.,i think you're gonna find he's taken the rest of his life off.
that where anderson worked?,yes it is.  thirty-five percent pure methane gas in there.  i don't know how these fellas do it.
"don't piss him off, o'neal.  when he gets like this, i can't control him. i've seen this before.  he got like this once -- i saw him jerk a guy's spine out and show it to him. nothing i could do.  i hadda go throw up.","... they took the stuff out, all of it -- this afternoon."
"here's hubley.  left quarantine on november thirtieth, relocated first to riverside, then moved to los angeles early in february the following year.  field of expertise: chemical manufacturing.  looks like he passed up several other better paying jobs waiting for that one at the refinery.","try joshua strader, will ya, darlin'?"
"try joshua strader, will ya, darlin'?","for you, anything."
"released december one.  he and his wife moved first to modesto, then coalinga, california -- wherever that is -- settled in l.a. in april.  field of expertise: organic chemical engineering.  he and his wife have one child, a son.",yeah -- we met him.  wonderful boy... close personal friend of george's here.
yeah -- we met him.  wonderful boy... close personal friend of george's here.,"i'm sorry, matt.  nothing here seems to be matching up..."
can you dig up their quarantine records in this thing?,sure.  just a minute.
"jesus, are the questions too tough for you already?  let's try again--  is your name porter?",ss'kya'ta'.
ss'kya'ta'.,what's that?
"one of the two men was hubley, right?  what about the other one? did you know him?",yeah... i seen him around.  high- roller dude named strader.  joshua strader.  runs a club on the west side.  encounters.
yeah... i seen him around.  high- roller dude named strader.  joshua strader.  runs a club on the west side.  encounters.,"yeah, i heard of it."
"yeah, i heard of it.","that's all i know.  you want anything more, you ask somebody else."
you know i've been over all this with fedorchuk and alterez this morning...,"come on.  you got nothin' better to do, cushy county job like yours."
"yeah, right.  don't push your luck. anyway, according to the sheet, the guy you nailed outside by the car--",the human?
the human?,"yeah... he was one martin helder. white male, twenty-seven.  let's see... wrap sheet shows one armed robbery conviction, a couple for sale of a controlled substance. oh yeah, and he was wired on coke when you stopped his clock."
"no i.d. on him and -- well, you know, no fingerprints -- so it could be tough.  your buddies this morning went through the mug book but couldn't make a facial match.",fedorchuk couldn't find his ass with his hands in his back pockets.
"you took this gut out, too, didn't you?",yeah.
yeah.,"lucky for you, you got him in both of his... well, what we loosely refer to as... hearts."
"lucky for you, you got him in both of his... well, what we loosely refer to as... hearts.",lucky nothing.  i had to empty my damn gun into him.
lucky nothing.  i had to empty my damn gun into him.,that's the way these people are. you don't hit both pumps you just piss them off.
"oh, here's an extra headshot if you need one.  we're just about to start cutting in.  you're welcome to stick around if you want.  it's really fascinating stuff.","yeah, i'll bet."
you guys finished the postmortem on strader yet?,you mean the blob?  they're finishing up now.
what kind of test?,looking for some foreign compound in the blood of that alien you dropped the other day.
looking for some foreign compound in the blood of that alien you dropped the other day.,did he find anything?
"yeah, sykes?",captain.  i'd like to volunteer for duty with the new detective.
you are to have nothing to do with the investigation into bill tuggle's death.  you know that.  leave that for fedorchuk.,departmental policy.
departmental policy.,you?
granger and pitts are already on it.,"granger and pitts have one hell of a caseload... and i would have thought with jetson here being the first newcomer plainclothes, and hubley's body being found over in the newcomer community..."
"granger and pitts have one hell of a caseload... and i would have thought with jetson here being the first newcomer plainclothes, and hubley's body being found over in the newcomer community...",don't tell me what to think.
hope their plumbing's the same.,it is.
how can i go?,"put on your wash-and-wear suit and your clip-on tie, have your landlady tie your shoes for you, and show up at the church.  simple.  me and carol are going."
"put on your wash-and-wear suit and your clip-on tie, have your landlady tie your shoes for you, and show up at the church.  simple.  me and carol are going.",what?
what?,"hey, look -- we've known kristin since... since she was conceived in that cabin up in big bear. remember?  you and edie banged the wall so hard, me and carol were picking plaster out of our hair for a week..."
"hey, look -- we've known kristin since... since she was conceived in that cabin up in big bear. remember?  you and edie banged the wall so hard, me and carol were picking plaster out of our hair for a week...","goddammit, tug -- i want to see kristin get married, okay?  but--"
"goddammit, tug -- i want to see kristin get married, okay?  but--",but you're bummed because your ex and her new husband are paying for the whole thing.
but you're bummed because your ex and her new husband are paying for the whole thing.,"shit, if kristin had to get married where i could afford it, we'd be holding the reception at buddy's burgers."
does that look at all suspicious to you?,whatever gave you that idea?
you got your vest?,of course.  right in the trunk of the car.
of course.  right in the trunk of the car.,"yeah, that's comforting.  mine, too."
watch the driver.  i'm going for a better angle on the door.,i got him.  don't get pinned.
get outta there!,i can't!  do you mind!
i can't!  do you mind!,i'll cover you!  get outta there!!
this floor's freezing.,"christ.  i never saw such a buncha old women.  you want me to fetch your slippers, hudson?"
"christ.  i never saw such a buncha old women.  you want me to fetch your slippers, hudson?","would you, sir?"
whoooah!  no shit?  i'm impressed.,let's go...let's go.  cycle through!
"hey, 'top.'  what's the op?",rescue mission.  there's some juicy colonists' daughters we gotta rescue from virginity.
movement!,position?
position?,can't lock up...
can't lock up...,"talk to me, hudson."
"talk to me, hudson.","uh, seems to be in front and behind."
...that's better.  pan it around a bit.,awright.  fire-team a.  gear up. let's move.  two minutes. somebody wake up hicks.
"okay, let's do it.",awright!  i want a nice clean dispersal this time.
"set down sixty meters this side of the telemetry mast.  immediate dust off on my 'clear,' then stay on station.","ten seconds, people.  look sharp!"
"first squad up, on line.  hicks, get yours in a cordon.  watch the rear.","vasquez, take point.  let's move."
flame-units only.  i want rifles slung.,let's go.  pull 'em out.
"uh,...apone, i want you to lay down a suppressing fire with the incinerators and fall back by squads to the apc, over.",say again?  all after incinerators?
i've isolated a neuro-muscular toxin responsible for the paralysis.  it seems to be metabolizing.  he should wake up soon.,"now let me get this straight. the aliens paralyzed the colonists, carried them over there, cocooned them to be hosts for more of those..."
"which would mean lots of those parasites, right?  one for each person...over a hundred at least.",yes.  that follows.
yes.  that follows.,but these things come from eggs...so where are all the eggs coming from.
but these things come from eggs...so where are all the eggs coming from.,"that is the question of the hour.  we could assume a parallel to certain insect forms who have hivelike organization. an ant of termite colony, for example, is ruled by a single female, a queen, which is the source of new eggs."
"that is the question of the hour.  we could assume a parallel to certain insect forms who have hivelike organization. an ant of termite colony, for example, is ruled by a single female, a queen, which is the source of new eggs.",you're saying one of those things lays all the eggs?
you're saying one of those things lays all the eggs?,"well, the queen is always physically larger then the others.  a termite queen's abdomen is so bloated with eggs that it can't move at all.  it is fed and tended by drone workers, defended by the warriors.  she is the center of their lives, quite literally the  mother of their society."
"well, the queen is always physically larger then the others.  a termite queen's abdomen is so bloated with eggs that it can't move at all.  it is fed and tended by drone workers, defended by the warriors.  she is the center of their lives, quite literally the  mother of their society.",could it be intelligent?
could it be intelligent?,"hard to say.  it may have been blind instinct...attraction to the heat of whatever...but she did choose to incubate her eggs in the one spot where we couldn't destroy her without destroying ourselves.  that's if she exists, of course."
that's it.  see it?  emergency venting.,how long until it blows?
how long until it blows?,i'm projecting total systems failure in a little under four hours.  the blast radius will be about thirty kilometers.  about equal to ten megatons.
and it's too late to shut it down?,"i'm afraid so.  the crash did too much damage.  the overload is inevitable, at this point."
i'll go.,what?
what?,"i'm really the only one qualified to remote-pilot the ship anyway. believe me, i'd prefer not to.  i may be synthetic but i'm not stupid."
"i'm really the only one qualified to remote-pilot the ship anyway. believe me, i'd prefer not to.  i may be synthetic but i'm not stupid.",all right.  let's get on it.  what'll you need?
it's going to be closer.  you better get going.,see you soon.
how much time?,plenty!  twenty-six minutes!
plenty!  twenty-six minutes!,we're not leaving!
ripley...,she's alive.  they brought her here and you know it.
she's alive.  they brought her here and you know it.,in seventeen minutes this place will be a cloud of vapor the size of nebraska.
"you did okay, bishop.","well, thanks, i --"
"fifty-seven...oh, christ...",you'd drifted right through the core systems.  it's blind luck that deep-salvage team caught you when they...are you all right?
have they located my daughter yet?,"well, i was going to wait until after the inquest..."
is she...?,"amanda ripley-mcclaren.  married name, i guess.  age:  sixty-six ...at time of death.  two years ago.  i'm sorry."
amy.,"cancer.  hmmmm.  they still haven't licked that one.  cremated.  interred parkside repository, little chute, wisconsin.  no children."
you read my deposition...it's complete and accurate.,"look, i believe you, but there are going to be some heavyweights in there.  you got feds, you got interstellar commerce commission, you got colonial administration, insurance company guys..."
"look, i believe you, but there are going to be some heavyweights in there.  you got feds, you got interstellar commerce commission, you got colonial administration, insurance company guys...",i get the picture.
i get the picture.,just tell them what happened.  the important thing is to stay cool and unemotional.
"you had them eating out of your hand, kiddo.",they had their minds made up before i even went in there. they think i'm a head case.
they had their minds made up before i even went in there. they think i'm a head case.,you are a head case.  have a donut.
no.  there's no way!,hear me out...
hear me out...,"i was reamed, steamed and dry-cleaned by you guys...and now you want me to go back out there?  forget it."
what about you?  what's your interest in this?,"well, the corporation co-financed that colony with the colonial administration, against mineral rights.  we're getting into a lot of terraforming...'building better worlds.'"
"yeah, yeah.  i saw the commercial.",i heard you were working in the cargo docks.
i heard you were working in the cargo docks.,that's right.
that's right.,"running loaders, forklifts, that sort of thing?"
"running loaders, forklifts, that sort of thing?","it's all i could get.  anyway, it keeps my mind off of... everything.  days off are worse."
"it's all i could get.  anyway, it keeps my mind off of... everything.  days off are worse.",what if i said i could get you reinstated as a flight officer? and that the company has agreed to pick up your contract?
what if i said i could get you reinstated as a flight officer? and that the company has agreed to pick up your contract?,if i go.
if i go.,"if you go.  it's a second chance, kiddo.  and it'll be the best thing in the world for you to face this fear and beat it.  you gotta get back on the horse..."
"if you go.  it's a second chance, kiddo.  and it'll be the best thing in the world for you to face this fear and beat it.  you gotta get back on the horse...","spare me, burke.  i've had my psych evaluation this month."
"yes, and i've read it.  you wake up every night, sheets soaking, the same nightmare over and over...","no!  the answer is no.  now please go.  i'm sorry.  just go, would you."
"yello?  oh, ripley.  hi...","burke, just tell me one thing. that you're going out there to kill them.  not study.  not bring back.  just burn them out...clean ...forever."
"burke, just tell me one thing. that you're going out there to kill them.  not study.  not bring back.  just burn them out...clean ...forever.",that's the plan.  my word on it.
you never said anything about an android being here!  why not?,"well, it didn't occur to me.  it's been policy for years to have a synthetic on board."
i hope you're right.  i really do.,i suggest you study the disks ripley has been kind enough to prepare for you.
that the atmosphere processor?,"uh-hunh.  one of thirty or so, all over the planet.  they're completely automated.  we manufacture them, by the way."
they're right under the primary heat exchangers.,"yeah?  maybe the organisms like the heat, that's why they built..."
"yeah?  maybe the organisms like the heat, that's why they built...","that's not what i mean.  gorman, if your men have to use their weapons in there, they'll rupture the cooling system."
"that's not what i mean.  gorman, if your men have to use their weapons in there, they'll rupture the cooling system.",she's right.
no good.  how do we know it'll effect their biochemistry?  i say we take off and nuke the entire site from orbit.  it's the only way to be sure.,now hold on a second.  i'm not authorizing that action.
now hold on a second.  i'm not authorizing that action.,why not?
"well, i mean...i know this is an emotional moment, but let's not make snap judgments.  let's move cautiously.  first, this physical installation had a substantial dollar value attached to it --",they can bill me.  i got a tab running.  what's second?
they can bill me.  i got a tab running.  what's second?,this is clearly an important species we're dealing with here. we can't just arbitrarily exterminate them --
this is clearly an important species we're dealing with here. we can't just arbitrarily exterminate them --,bullshit!
you son of a bitch.,"don't make me pull rank, ripley."
"don't make me pull rank, ripley.",what rank?  i believe corporal hicks has authority here.
what rank?  i believe corporal hicks has authority here.,corporal hicks!?
corporal hicks!?,this operation is under military jurisdiction and hicks is next in chain of command.  right?
"those specimens are worth millions to the bio-weapons division.  now, if you're smart we can both come out of this heroes.  set up for life.",you just try getting a dangerous organism past icc quarantine. section 22350 of the commerce code.
you just try getting a dangerous organism past icc quarantine. section 22350 of the commerce code.,"you've been doing your homework. look, they can't impound it if they don't know about it."
"you've been doing your homework. look, they can't impound it if they don't know about it.","but they will know about it, burke. from me.  just like they'll know how you were responsible for the deaths of one hundred and fifty-seven colonists here --"
"but they will know about it, burke. from me.  just like they'll know how you were responsible for the deaths of one hundred and fifty-seven colonists here --","now, wait a second --"
"now, wait a second --","you sent them to that ship.  i just checked the colony log... directive dates six-twelve-seventy-nine. signed burke, carter j."
"you sent them out there and you didn't even warn them, burke. why didn't you warn them?","look, maybe the thing didn't even exist, right?  and if i'd made it a major security situation, the administration would've stepped in.  then no exclusive rights, nothing."
"i expected more of you, ripley. i thought you would be smarter than this.",sorry to disappoint you.
"look, we don't know what's going on out there.  it may just be a down transmitter.  but if it's not, i want you there...as an advisor.  that's all.",you wouldn't be going in with the troops.  i can guarantee your safety.
you wouldn't be going in with the troops.  i can guarantee your safety.,"these colonial marines are some tough hombres, and they're packing state-of-the-art firepower. nothing they can't handle...right, lieutenant?"
"these colonial marines are some tough hombres, and they're packing state-of-the-art firepower. nothing they can't handle...right, lieutenant?",we're trained to deal with these kinds of situations.
still nothing from the colony?,dead on all channels.
looks like you company can write off its share of this colony.,it's insured.
what's he scanning for?,pdt's.  personal-data transmitters. every adult colonist had one surgically implanted.
we're talking thermonuclear explosion.,"shit.  apone, collect magazines from everybody.  we can't have any firing in there."
"how may drops is this for you, lieutenant?",thirty-eight...simulated.
hold at forty.  slow circle of the complex.,the structure seems intact.  they have power.
one of us?,apone...where are your people? anybody in d-block?
where are your parents?  you have to try...,gorman!  give it a rest would you.
what is it?,i don't know.
i don't know.,proceed inside.
so.,so...then the fusion containment shuts down.
so...then the fusion containment shuts down.,so?  so?
get them out of there!  do it now!,shut up.  just shut up!
i told them to fall back...,they're but off!  do something!
how do you feel?,"all right, i guess.  one hell of a hangover.  look, ripley... i..."
"all right, i guess.  one hell of a hangover.  look, ripley... i...",forget it.
at ease.  i'm sorry we didn't have time to brief before we left gateway but...,sir?
sir?,"yes, hicks?"
"yes, hicks?","hudson, sir.  he's hicks."
"hudson, sir.  he's hicks.",what's the question?
what's the question?,"is this going to be a stand-up fight, sir, on another bug-hunt?"
"is this going to be a stand-up fight, sir, on another bug-hunt?",all we know is that there's still no contact with the colony and that a xenomorph may be involved.
are there any questions?  hudson?,how do i get out of this chicken-shit outfit?
"all right, the area's secured. let's go in and see what their computer can tell us.  first team head for operations. hudson, see if you can get their cpu on line.  hicks, meet me at the south lock by the up-link tower...",...we're coming in.
...we're coming in.,he's coming in.  i feel safer already.
"sir, the cpu is on-line.","okay, stand by in operations.  let's go."
hah!  stop your grinnin' and drop your linen!  found 'em.,alive?
alive?,"unknown.  but, it looks like all of them.  over at the processing station...sublevel 'c' under the south tower."
we're not making that out too well.  what is it?,you tell me.  i only work here.
save it.,"sure, hicks."
let's get the fuck out of here!,"not that tunnel, the other one!"
"well that's great!  that's just fucking great, man.  now what the fuck are we supposed to do, man? we're in some real pretty shit now!",are you finished?  you okay?
"outstanding.  then all we need's a deck of cards.  all right, let's move like we got a purpose.",aye-firmative.
we got problems.,i don't fucking believe this. do you believe this?
maybe we got 'em demoralized.,i want you two walking the perimeter. i know we're all in strung out shape but stay frosty and alert. we've got to stop any entries before they get out of hand.
the corner!  ready?,do it!
seventeen meters.,let's get these things lit.
well you're not reading it right!,six meters.  five.  what the fu --
let's go!  let's go!,fuckin' a!
"removed surgically before embryo implantation.  subject:  marachuk, john l.   died during procedure.  they killed him getting it off.",poor bastard.
how long after we're declared overdue can we expect a rescue?,about seventeen days.
all right.  there's a fire door at this end.  the first thing we do is put a remote sentry in the tunnel and seal that door.,we gotta figure on them getting into the complex.
we gotta figure on them getting into the complex.,"that's right.  so we put up welded barricades at these intersections...  ...and seal these ducts here and here.  then they can only come at us from these two corridors and we create a free field of fire for the other two sentry units, here."
they're in the approach corridor.,on my way.
now many?,can't tell.  lots.  d gun's down to twenty.  ten.  it's out.
newt time then can walk right up and knock.,but they don't know that.  they're probably looking for other ways to get in.  that'll take them awhile.
they'll get us.,maybe.  maybe not.
maybe.  maybe not.,"hicks, i'm not going to wind up like those others.  you'll take care of it won't you, it if comes to that?"
"hicks, i'm not going to wind up like those others.  you'll take care of it won't you, it if comes to that?","if it comes to that, i'll do us both.  let's see that it doesn't here, i'd like to introduce you to a close personal friend of mine."
what's this?,"well, that's the grenade launcher ...you probably don't want to mess with that."
"well, that's the grenade launcher ...you probably don't want to mess with that.","look, you started this.  now show me everything.  i can handle myself."
"look, you started this.  now show me everything.  i can handle myself.",yeah.  i've noticed.
wait a minute.  we'd know about it.,the only way it would work is if he sabotaged certain freezers on the trip back.  then he could jettison the bodies and make up any story he liked.
"you know, burke, i don't know which species is worse.  you don't see them screwing each other over for a fucking percentage.",let's waste him.  no offense.
it's game time.,"get back here, both of you.  fall back to operations."
"they learned.  they cut the power and avoided the guns.  they must have found another way in, something we missed.",we didn't miss anything.
locked.,stand back.
no!  no!  she's alive!  we have to --,all right!  she's alive.  i believe it.  but we gotta get moving!  now!
"hicks, don't let him leave.",we ain't going anywhere.
ellen.,"don't be long, ellen."
"hey, vasquez...you ever been mistaken for a man?",no.  have you?
somebody said alien...she thought they said illegal alien and signed up.,fuck you.
fuck you.,anytime.  anywhere.
"all right, we can't blow the fuck out of them...why not roll some canisters of cn-20 down there. nerve gas the whole nest?","look, man, let's just bug out and call it even, okay?"
"yeah, bullshit.  watch us.","maybe you haven't been keeping up on current events, but we just got out asses kicked, pal!"
"oh, man.  and i was gettin' short, too!  four more weeks and out. now i'm gonna buy it on this fuckin' rock.  it ain't half fair, man!","hudson, give us a break."
